Timestamp,Temperature (C),Vibration (mm/s),Downtime Log,Throughput (units/hour)
2024-12-16 23:33:06,65.4,1.98,beyond,148
2024-12-16 23:33:16,81.48,0.6,None,461
2024-12-16 23:33:26,67.82,1.91,None,203
2024-12-16 23:33:36,63.17,1.83,politics,356
2024-12-16 23:33:46,90.97,0.61,None,258
2024-12-16 23:33:56,71.4,0.58,defense,373
2024-12-16 23:34:06,83.18,1.95,condition,111
2024-12-16 23:34:16,86.26,1.54,None,246
2024-12-16 23:34:26,50.87,0.46,None,138
2024-12-16 23:34:36,73.22,1.95,thus,266
2024-12-16 23:34:46,72.05,0.35,water,398
2024-12-16 23:34:56,74.95,0.17,None,405
2024-12-16 23:35:06,74.71,1.37,None,361
2024-12-16 23:35:16,67.49,1.4,None,391
2024-12-16 23:35:26,95.51,0.31,less,112
2024-12-16 23:35:36,88.6,0.85,None,336
2024-12-16 23:35:46,73.36,0.42,None,496
2024-12-16 23:35:56,73.6,1.3,information,342
2024-12-16 23:36:06,69.01,0.63,receive,308
2024-12-16 23:36:16,58.33,0.41,science,387
2024-12-16 23:36:26,92.03,0.13,during,313
2024-12-16 23:36:36,72.45,1.0,None,105
2024-12-16 23:36:46,55.23,1.03,None,201
2024-12-16 23:36:56,90.85,1.0,None,473
2024-12-16 23:37:06,63.45,0.13,PM,107
2024-12-16 23:37:16,87.89,1.21,None,417
2024-12-16 23:37:26,83.74,1.47,fire,490
2024-12-16 23:37:36,58.38,1.24,None,193
2024-12-16 23:37:46,76.18,0.34,None,278
2024-12-16 23:37:56,51.63,1.98,couple,321
2024-12-16 23:38:06,69.17,1.61,month,250
2024-12-16 23:38:16,62.64,1.0,keep,330
2024-12-16 23:38:26,86.49,0.12,since,278
2024-12-16 23:38:36,74.71,0.17,treatment,276
2024-12-16 23:38:46,82.49,0.44,agreement,307
2024-12-16 23:38:56,64.56,0.99,None,468
2024-12-16 23:39:06,99.23,0.49,professional,111
2024-12-16 23:39:16,96.96,0.28,final,191
2024-12-16 23:39:26,80.0,1.31,None,333
2024-12-16 23:39:36,84.31,1.03,None,298
2024-12-16 23:39:46,82.44,0.24,view,340
2024-12-16 23:39:56,93.3,0.87,security,253
2024-12-16 23:40:06,95.34,1.13,None,219
2024-12-16 23:40:16,50.39,1.95,None,175
2024-12-16 23:40:26,55.61,0.74,None,304
2024-12-16 23:40:36,59.4,1.52,None,339
2024-12-16 23:40:46,57.64,1.44,None,112
2024-12-16 23:40:56,99.59,0.25,None,428
2024-12-16 23:41:06,85.76,1.94,clearly,443
2024-12-16 23:41:16,59.52,1.44,reduce,334
2024-12-16 23:41:26,70.96,1.35,make,353
2024-12-16 23:41:36,97.05,0.68,try,343
2024-12-16 23:41:46,62.45,1.65,friend,348
2024-12-16 23:41:56,85.0,0.78,None,102
2024-12-16 23:42:06,76.06,0.5,None,251
2024-12-16 23:42:16,50.88,0.6,None,482
2024-12-16 23:42:26,99.13,0.53,None,196
2024-12-16 23:42:36,72.49,0.8,None,492
2024-12-16 23:42:46,88.7,0.49,wide,371
2024-12-16 23:42:56,77.05,1.55,None,119
2024-12-16 23:43:06,89.99,1.29,television,228
2024-12-16 23:43:16,79.1,1.17,None,365
2024-12-16 23:43:26,66.56,1.11,center,448
2024-12-16 23:43:36,78.27,0.83,None,104
2024-12-16 23:43:46,75.91,0.68,None,409
2024-12-16 23:43:56,83.58,0.56,None,312
2024-12-16 23:44:06,93.31,1.18,very,375
2024-12-16 23:44:16,83.46,1.62,positive,240
2024-12-16 23:44:26,63.78,0.61,None,428
2024-12-16 23:44:36,77.3,1.97,too,395
2024-12-16 23:44:46,75.22,0.71,None,449
2024-12-16 23:44:56,94.23,0.69,None,171
2024-12-16 23:45:06,82.31,0.11,report,395
2024-12-16 23:45:16,99.63,1.45,information,150
2024-12-16 23:45:26,59.5,1.63,throughout,418
2024-12-16 23:45:36,90.69,1.9,writer,409
2024-12-16 23:45:46,88.68,0.29,true,144
2024-12-16 23:45:56,94.09,0.26,try,200
2024-12-16 23:46:06,65.46,0.95,None,173
2024-12-16 23:46:16,56.67,0.88,None,500
2024-12-16 23:46:26,73.68,0.49,response,278
2024-12-16 23:46:36,66.3,1.8,None,423
2024-12-16 23:46:46,66.25,0.57,None,369
2024-12-16 23:46:56,51.69,1.89,None,311
2024-12-16 23:47:06,62.85,1.96,None,324
2024-12-16 23:47:16,89.99,1.45,mother,232
2024-12-16 23:47:26,90.56,0.95,these,293
2024-12-16 23:47:36,50.1,1.95,officer,297
2024-12-16 23:47:46,52.89,0.47,None,266
2024-12-16 23:47:56,69.35,1.45,None,125
2024-12-16 23:48:06,50.41,0.26,finally,433
2024-12-16 23:48:16,87.28,0.96,None,110
2024-12-16 23:48:26,67.77,0.11,None,351
2024-12-16 23:48:36,82.81,1.63,None,198
2024-12-16 23:48:46,68.72,1.1,near,180
2024-12-16 23:48:56,85.53,0.88,interest,177
2024-12-16 23:49:06,75.08,1.99,experience,318
2024-12-16 23:49:16,58.68,0.6,None,423
2024-12-16 23:49:26,66.2,0.57,None,421
2024-12-16 23:49:36,88.02,1.6,None,319
2024-12-16 23:49:46,69.29,0.9,None,457
2024-12-16 23:49:56,73.78,0.52,on,193
2024-12-16 23:50:06,61.08,1.42,None,194
2024-12-16 23:50:16,94.07,1.36,under,376
2024-12-16 23:50:26,57.85,1.13,too,418
2024-12-16 23:50:36,67.72,0.24,None,422
2024-12-16 23:50:46,73.95,0.99,None,254
2024-12-16 23:50:56,77.68,0.97,mean,315
2024-12-16 23:51:06,50.34,1.19,investment,128
2024-12-16 23:51:16,77.94,1.89,others,206
2024-12-16 23:51:26,92.71,0.68,None,282
2024-12-16 23:51:36,85.09,0.77,None,366
2024-12-16 23:51:46,64.44,0.76,None,242
2024-12-16 23:51:56,52.1,1.24,pattern,262
2024-12-16 23:52:06,96.18,0.95,None,296
2024-12-16 23:52:16,50.17,1.93,laugh,138
2024-12-16 23:52:26,81.08,0.22,None,212
2024-12-16 23:52:36,60.37,0.75,None,139
2024-12-16 23:52:46,79.83,1.33,result,292
2024-12-16 23:52:56,85.88,0.7,list,251
2024-12-16 23:53:06,87.65,1.57,camera,173
2024-12-16 23:53:16,87.98,1.5,friend,339
2024-12-16 23:53:26,89.83,1.12,None,427
2024-12-16 23:53:36,90.34,1.83,None,352
2024-12-16 23:53:46,73.7,1.71,moment,340
2024-12-16 23:53:56,84.99,1.05,push,277
2024-12-16 23:54:06,90.45,1.97,None,113
2024-12-16 23:54:16,68.24,1.82,None,287
2024-12-16 23:54:26,79.85,1.37,None,154
2024-12-16 23:54:36,61.06,0.41,decade,380
2024-12-16 23:54:46,75.19,1.78,None,217
2024-12-16 23:54:56,64.86,1.73,None,225
2024-12-16 23:55:06,70.21,1.97,good,437
2024-12-16 23:55:16,67.23,1.55,None,383
2024-12-16 23:55:26,63.44,1.48,day,449
2024-12-16 23:55:36,88.98,1.71,None,171
2024-12-16 23:55:46,85.65,1.76,against,118
2024-12-16 23:55:56,63.02,1.09,None,433
2024-12-16 23:56:06,95.81,0.95,None,143
2024-12-16 23:56:16,79.37,0.75,seat,340
2024-12-16 23:56:26,88.93,1.49,contain,239
2024-12-16 23:56:36,61.0,1.09,None,432
2024-12-16 23:56:46,91.7,1.88,None,119
2024-12-16 23:56:56,85.99,0.55,None,306
2024-12-16 23:57:06,52.81,1.54,None,309
2024-12-16 23:57:16,77.85,1.68,None,130
2024-12-16 23:57:26,91.7,0.34,None,286
2024-12-16 23:57:36,81.93,1.52,tree,109
2024-12-16 23:57:46,50.4,0.37,west,313
2024-12-16 23:57:56,55.72,1.77,growth,298
2024-12-16 23:58:06,52.64,1.03,None,433
2024-12-16 23:58:16,59.17,1.09,month,415
2024-12-16 23:58:26,83.86,1.2,fire,196
2024-12-16 23:58:36,66.71,0.11,None,499
2024-12-16 23:58:46,66.77,1.87,enough,214
2024-12-16 23:58:56,73.1,1.44,cold,419
2024-12-16 23:59:06,87.77,1.12,once,335
2024-12-16 23:59:16,52.01,1.68,None,485
2024-12-16 23:59:26,94.75,0.64,None,158
2024-12-16 23:59:36,83.96,0.99,None,160
2024-12-16 23:59:46,87.65,2.0,None,269
2024-12-16 23:59:56,72.6,0.11,drop,104
2024-12-17 00:00:06,97.91,0.68,system,174
2024-12-17 00:00:16,54.67,1.93,None,299
2024-12-17 00:00:26,82.4,0.39,range,459
2024-12-17 00:00:36,84.49,1.27,policy,494
2024-12-17 00:00:46,90.13,1.72,college,147
2024-12-17 00:00:56,96.85,1.54,case,374
2024-12-17 00:01:06,72.62,1.45,None,406
2024-12-17 00:01:16,97.82,0.61,heart,201
2024-12-17 00:01:26,52.14,1.92,None,411
2024-12-17 00:01:36,62.84,1.62,None,127
2024-12-17 00:01:46,82.76,0.85,None,460
2024-12-17 00:01:56,94.53,0.74,father,474
2024-12-17 00:02:06,50.38,0.19,get,100
2024-12-17 00:02:16,64.59,1.33,None,335
2024-12-17 00:02:26,85.75,1.59,None,183
2024-12-17 00:02:36,79.99,0.94,late,274
2024-12-17 00:02:46,91.77,0.9,chance,351
2024-12-17 00:02:56,98.96,0.46,None,256
2024-12-17 00:03:06,61.12,0.41,None,414
2024-12-17 00:03:16,62.27,0.29,None,201
2024-12-17 00:03:26,91.17,0.84,None,191
2024-12-17 00:03:36,58.47,1.94,build,194
2024-12-17 00:03:46,51.64,0.36,None,236
2024-12-17 00:03:56,65.62,1.83,None,276
2024-12-17 00:04:06,59.2,1.06,no,314
2024-12-17 00:04:16,79.53,0.53,None,254
2024-12-17 00:04:26,62.74,0.9,None,492
2024-12-17 00:04:36,60.0,1.5,None,448
2024-12-17 00:04:46,85.24,0.16,None,218
2024-12-17 00:04:56,58.37,0.88,my,150
2024-12-17 00:05:06,76.86,0.8,happen,422
2024-12-17 00:05:16,67.36,1.7,commercial,162
2024-12-17 00:05:26,97.59,1.72,value,251
2024-12-17 00:05:36,54.0,0.38,None,232
2024-12-17 00:05:46,51.98,0.75,tough,416
2024-12-17 00:05:56,62.79,0.84,None,417
2024-12-17 00:06:06,94.13,1.52,spend,480
2024-12-17 00:06:16,94.06,0.46,None,316
2024-12-17 00:06:26,86.39,0.64,back,264
2024-12-17 00:06:36,58.96,0.76,None,359
2024-12-17 00:06:46,75.32,0.58,store,354
2024-12-17 00:06:56,82.23,0.38,talk,368
2024-12-17 00:07:06,67.88,1.07,low,406
2024-12-17 00:07:16,71.0,0.46,None,293
2024-12-17 00:07:26,84.75,1.6,None,127
2024-12-17 00:07:36,95.16,0.71,try,284
2024-12-17 00:07:46,97.86,0.79,None,262
2024-12-17 00:07:56,50.08,0.91,None,359
2024-12-17 00:08:06,88.9,0.32,name,140
2024-12-17 00:08:16,51.64,1.55,None,382
2024-12-17 00:08:26,57.75,1.19,safe,103
2024-12-17 00:08:36,98.36,1.62,model,347
2024-12-17 00:08:46,53.89,1.08,surface,128
2024-12-17 00:08:56,52.74,1.44,realize,288
2024-12-17 00:09:06,56.66,0.29,surface,463
2024-12-17 00:09:16,76.84,1.72,hair,139
2024-12-17 00:09:26,51.3,0.96,make,445
2024-12-17 00:09:36,84.27,0.1,prevent,305
2024-12-17 00:09:46,66.23,1.41,second,121
2024-12-17 00:09:56,57.37,1.34,None,164
2024-12-17 00:10:06,60.49,1.03,reduce,228
2024-12-17 00:10:16,71.0,0.45,None,421
2024-12-17 00:10:26,84.85,1.75,attention,375
2024-12-17 00:10:36,54.94,0.47,None,142
2024-12-17 00:10:46,98.24,0.69,None,244
2024-12-17 00:10:56,60.53,1.65,None,291
2024-12-17 00:11:06,80.91,1.21,None,158
2024-12-17 00:11:16,74.22,1.4,full,265
2024-12-17 00:11:26,92.28,1.92,None,318
2024-12-17 00:11:36,74.13,1.6,politics,150
2024-12-17 00:11:46,97.8,1.14,our,288
2024-12-17 00:11:56,74.45,0.67,floor,320
2024-12-17 00:12:06,62.06,0.13,None,394
2024-12-17 00:12:16,77.47,0.73,tonight,281
2024-12-17 00:12:26,73.34,0.4,want,194
2024-12-17 00:12:36,91.6,1.15,None,436
2024-12-17 00:12:46,94.45,1.45,None,315
2024-12-17 00:12:56,98.18,1.96,None,156
2024-12-17 00:13:06,70.68,0.81,None,220
2024-12-17 00:13:16,50.43,0.54,None,207
2024-12-17 00:13:26,52.59,1.89,None,500
2024-12-17 00:13:36,99.49,0.29,None,416
2024-12-17 00:13:46,90.04,0.15,None,193
2024-12-17 00:13:56,71.65,0.33,None,168
2024-12-17 00:14:06,60.37,0.87,hotel,312
2024-12-17 00:14:16,92.2,0.15,wear,413
2024-12-17 00:14:26,74.74,1.81,None,102
2024-12-17 00:14:36,95.05,0.6,receive,456
2024-12-17 00:14:46,65.84,1.37,None,109
2024-12-17 00:14:56,75.72,1.04,your,360
2024-12-17 00:15:06,78.78,1.44,us,236
2024-12-17 00:15:16,88.99,1.62,None,291
2024-12-17 00:15:26,56.34,0.41,identify,292
2024-12-17 00:15:36,56.34,1.77,assume,422
2024-12-17 00:15:46,75.02,1.7,None,486
2024-12-17 00:15:56,52.89,1.45,site,247
2024-12-17 00:16:06,67.91,1.09,None,166
2024-12-17 00:16:16,86.03,0.7,None,234
2024-12-17 00:16:26,50.9,0.3,talk,470
2024-12-17 00:16:36,63.77,0.6,race,296
2024-12-17 00:16:46,56.09,0.55,dog,235
2024-12-17 00:16:56,94.96,0.56,None,461
2024-12-17 00:17:06,56.23,1.43,None,328
2024-12-17 00:17:16,58.02,0.25,move,187
2024-12-17 00:17:26,95.1,1.82,None,471
2024-12-17 00:17:36,75.34,1.95,None,495
2024-12-17 00:17:46,55.44,0.58,None,262
2024-12-17 00:17:56,85.17,0.22,None,113
2024-12-17 00:18:06,56.51,0.86,story,468
2024-12-17 00:18:16,60.64,0.67,leave,356
2024-12-17 00:18:26,88.57,1.22,modern,405
2024-12-17 00:18:36,72.58,1.33,million,206
2024-12-17 00:18:46,59.28,0.66,tree,140
2024-12-17 00:18:56,99.84,0.57,kitchen,482
2024-12-17 00:19:06,52.26,1.18,None,482
2024-12-17 00:19:16,82.8,1.49,None,136
2024-12-17 00:19:26,70.1,1.03,create,325
2024-12-17 00:19:36,50.67,0.17,None,394
2024-12-17 00:19:46,83.39,1.77,None,272
2024-12-17 00:19:56,65.92,1.54,ability,277
2024-12-17 00:20:06,78.84,0.38,concern,290
2024-12-17 00:20:16,61.82,1.45,Congress,235
2024-12-17 00:20:26,97.86,1.17,laugh,460
2024-12-17 00:20:36,79.36,0.12,technology,421
2024-12-17 00:20:46,50.96,1.61,None,225
2024-12-17 00:20:56,99.98,0.1,new,330
2024-12-17 00:21:06,77.33,1.25,None,461
2024-12-17 00:21:16,50.58,0.21,nothing,194
2024-12-17 00:21:26,79.35,1.8,type,437
2024-12-17 00:21:36,54.37,0.85,us,429
2024-12-17 00:21:46,78.02,0.39,specific,244
2024-12-17 00:21:56,56.13,0.52,None,358
2024-12-17 00:22:06,98.96,0.35,once,281
2024-12-17 00:22:16,64.33,1.79,None,290
2024-12-17 00:22:26,60.51,1.05,None,157
2024-12-17 00:22:36,57.12,1.06,same,419
2024-12-17 00:22:46,58.27,1.24,others,241
2024-12-17 00:22:56,88.41,0.81,None,350
2024-12-17 00:23:06,98.18,1.45,None,104
2024-12-17 00:23:16,75.8,1.65,None,286
2024-12-17 00:23:26,63.06,0.84,None,233
2024-12-17 00:23:36,94.35,0.31,None,442
2024-12-17 00:23:46,72.73,0.6,None,226
2024-12-17 00:23:56,95.85,1.25,join,279
2024-12-17 00:24:06,60.41,0.55,None,251
2024-12-17 00:24:16,64.49,0.61,None,409
2024-12-17 00:24:26,90.08,0.67,None,139
2024-12-17 00:24:36,81.12,1.24,None,449
2024-12-17 00:24:46,54.88,1.3,reduce,354
2024-12-17 00:24:56,97.95,1.3,wish,204
2024-12-17 00:25:06,75.29,0.49,None,222
2024-12-17 00:25:16,59.18,1.34,None,404
2024-12-17 00:25:26,91.12,1.94,None,438
2024-12-17 00:25:36,67.81,1.65,None,115
2024-12-17 00:25:46,51.2,1.87,None,265
2024-12-17 00:25:56,55.43,0.93,price,108
2024-12-17 00:26:06,66.08,0.22,question,247
2024-12-17 00:26:16,86.48,1.2,ability,302
2024-12-17 00:26:26,54.81,0.32,your,279
2024-12-17 00:26:36,51.15,1.0,better,437
2024-12-17 00:26:46,55.37,1.56,study,372
2024-12-17 00:26:56,66.74,1.43,None,483
2024-12-17 00:27:06,57.96,1.83,buy,154
2024-12-17 00:27:16,72.98,1.42,deal,264
2024-12-17 00:27:26,80.54,1.33,None,311
2024-12-17 00:27:36,84.17,0.22,None,381
2024-12-17 00:27:46,88.96,0.31,behavior,349
2024-12-17 00:27:56,88.01,1.43,None,266
2024-12-17 00:28:06,96.11,0.36,None,252
2024-12-17 00:28:16,73.55,0.93,together,319
2024-12-17 00:28:26,99.41,0.26,None,101
2024-12-17 00:28:36,57.55,0.54,player,317
2024-12-17 00:28:46,55.35,0.21,treatment,159
2024-12-17 00:28:56,98.74,1.47,wide,123
2024-12-17 00:29:06,86.92,1.89,None,425
2024-12-17 00:29:16,58.64,0.68,None,418
2024-12-17 00:29:26,97.6,1.13,once,186
2024-12-17 00:29:36,51.87,1.11,serious,448
2024-12-17 00:29:46,67.84,0.36,None,353
2024-12-17 00:29:56,88.89,0.17,maintain,354
2024-12-17 00:30:06,96.25,1.42,None,434
2024-12-17 00:30:16,60.73,1.44,law,240
2024-12-17 00:30:26,54.22,0.9,None,437
2024-12-17 00:30:36,99.76,1.74,None,388
2024-12-17 00:30:46,99.6,0.77,None,293
2024-12-17 00:30:56,56.91,0.59,None,133
2024-12-17 00:31:06,91.38,1.51,None,109
2024-12-17 00:31:16,63.39,1.6,None,338
2024-12-17 00:31:26,53.77,1.5,None,466
2024-12-17 00:31:36,93.93,1.74,None,289
2024-12-17 00:31:46,98.36,0.23,None,333
2024-12-17 00:31:56,79.91,1.94,None,397
2024-12-17 00:32:06,81.87,0.58,order,110
2024-12-17 00:32:16,58.14,1.41,similar,267
2024-12-17 00:32:26,62.46,1.33,us,114
2024-12-17 00:32:36,79.45,0.28,None,448
2024-12-17 00:32:46,73.43,1.74,None,384
2024-12-17 00:32:56,64.76,0.53,tell,464
2024-12-17 00:33:06,77.73,0.92,house,438
2024-12-17 00:33:16,62.09,1.27,turn,370
2024-12-17 00:33:26,63.4,1.83,music,331
2024-12-17 00:33:36,77.61,0.43,None,380
2024-12-17 00:33:46,64.45,0.23,None,124
2024-12-17 00:33:56,76.43,1.19,None,433
2024-12-17 00:34:06,58.05,1.45,None,109
2024-12-17 00:34:16,57.66,1.73,in,333
2024-12-17 00:34:26,96.24,1.95,remain,177
2024-12-17 00:34:36,97.47,1.11,he,458
2024-12-17 00:34:46,61.21,0.4,size,434
2024-12-17 00:34:56,55.3,0.76,None,473
2024-12-17 00:35:06,72.65,0.42,None,396
2024-12-17 00:35:16,77.43,1.86,skill,448
2024-12-17 00:35:26,59.76,0.62,None,309
2024-12-17 00:35:36,54.97,0.62,ask,294
2024-12-17 00:35:46,75.72,1.84,season,111
2024-12-17 00:35:56,86.59,0.59,None,489
2024-12-17 00:36:06,83.73,1.16,reach,270
2024-12-17 00:36:16,65.29,1.8,research,208
2024-12-17 00:36:26,71.87,0.92,None,292
2024-12-17 00:36:36,61.26,1.53,None,400
2024-12-17 00:36:46,51.18,1.97,within,221
2024-12-17 00:36:56,51.73,0.33,want,427
2024-12-17 00:37:06,52.84,0.39,None,237
2024-12-17 00:37:16,89.0,0.19,blood,293
2024-12-17 00:37:26,52.56,0.92,None,201
2024-12-17 00:37:36,56.34,0.61,smile,213
2024-12-17 00:37:46,98.35,0.2,may,474
2024-12-17 00:37:56,66.28,0.98,None,147
2024-12-17 00:38:06,89.23,1.76,thought,170
